keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washer not drying clothes,10,78,1027.65,1890.89,MOFU,commercial,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer will not spin clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
my lg front load washer is leaking,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,True,voice
washer keeps running water,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washer leaks water all over the floor,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
washer banging during spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washer knocking during spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washing machine banging during spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washing machine banging on spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washing machine knocking on spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
bosch door not opening,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
bosch serie 4 washing machine door won t open,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Jun,False,
open zanussi washing machine door,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
washing machine door not opening after cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
front load washer leaking,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
front load washer leaking from front,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
front load washing machine leak,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
washer leaking from front,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
washing machine leaking front loader,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
washing machine doesn t turn on,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Dec/Jan/Mar/May/Jun,False,
fix a washer that won t drain,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jan,False,
lg washing machine drain repair,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Apr,False,
washing machine drain problem fix,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep,False,
fix washing machine not spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov/Feb,False,
fix a washer that won t spin,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep,False,
fix a washing machine that won t spin,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep,False,
fix washer not spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov/Feb,False,
washing machine not spinning how to fix,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Aug/Dec,True,voice
washing machine repair not spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov/Feb,False,
washing machine spin repair,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Mar,False,
washing machine repair water leaking,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jan,False,
fix noisy washing machine,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
washing machine made a loud bang,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov,False,
washing machine made loud noise and stopped working,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov,False,
washing machine made loud noise when spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jul,True,voice
my washing won t drain,10,43,0.0,0.0,MOFU,commercial,GROWING,Jul/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
softener not draining from washing machine,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Jun,False,
washing machine won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer does not spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
bosch washing machine drum not turning,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
my washing machine stopped working,10,43,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Nov/Dec/Feb/Apr/May/Jun,False,
bosch washer drum not turning,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
clothes washer won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
laundry machine won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer that won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine can t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine that won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
front load washer noisy spin cycle,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
loud washer,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Dec/Jan/Apr/Jun,False,
